,name,title,title2,title3,education
60,Dora Carrico-Moniz,Assistant Professor of Chemistry,,,"B.S., SUNY (Purchase College); M.S., Ph.D., Yale University"
61,Margaret Deutsch Carroll,Professor of Art,,,"B.A., Barnard College; A.M., Ph.D., Harvard University"
62,Kimberly Cassibry,Assistant Professor of Art,,,"B.A., Louisiana State University (Baton Rouge); M.A., University of Texas (Austin); Ph.D., University of California (Berkeley)"
63,Margaret Cezair-Thompson,Senior Lecturer in English,,,"B.A., Barnard College; M.A., New York University Ph.D., City University of New York"
64,Stanley S. Chang,Whitehead Associate Professor of Critical Thought Associate Professor of Mathematics,,,"B.A., University of California (Berkeley); M.A., Cambridge University (England); Ph.D., University of Chicago"
65,Fritz Chang,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Queens College; M.S., Ph.D., University of Massachusetts (Lowell)"
66,Robbin Chapman,Associate Provost and Academic Director of Diversity & Inclusion,Lecturer in Education,,"B.A., Brooklyn College of CUNY; S.M., Ph.D., Massachusetts Institute of Technology"
67,Jonathan M. Cheek,Professor of Psychology,,,"B.A., George Washington University; M.A., University of Texas (Austin); Ph.D., Johns Hopkins University"
68,Stephen Chen,Assistant Professor of Psychology,,,"B.A., Rutgers University; Ph.D., University of California (Berkeley)"
69,Dai Chen,Senior Lecturer in Chinese,,,"B.A., Shanghai Teachers' University; M.A., University of Iowa"
70,Dan Chiasson,Associate Professor of English,,,"B.A., Amherst College; Ph.D., Harvard University"
71,Calvin T. Chin,"Instructor in Physical Education, Recreation and Athletics",,,
72,James David Christie,Wellesley College Organist,,,"B.A., Oberlin College; M.M.A., New England Conservatory of Music"
